レース番号,競技性別,競技名,世界記録,日本記録,年齢区分,大会記録,順位,選手名,チーム名,水路,時間,大会新,飛込タイム,LAPタイム
No.7,女子,200m個人メドレ-,2:51.52,3:11.94,65~69歳,3:33.12,6,日和久美子,セ・戸塚,2/3,4:24.59,,0.96,"1:04.83,2:15.04,3:29.01"
No.7,女子,200m個人メドレ-,2:51.52,3:11.94,65~69歳,3:33.12,7,太田初美,セ・越谷,2/4,4:29.68,,0.85,"57.58,2:06.67,3:17.77"
No.7,女子,200m個人メドレ-,2:51.52,3:11.94,65~69歳,3:33.12,8,近藤みゆき,セ・阿佐谷,1/6,4:49.41,,0.70,"1:11.42,2:26.70,3:44.40"
No.7,女子,200m個人メドレ-,2:34.27,2:57.05,60~64歳,3:20.19,1,野島久枝,セ・二俣川,4/4,3:23.34,,0.82,"47.93,1:42.47,2:37.96"
No.7,女子,200m個人メドレ-,2:34.27,2:57.05,60~64歳,3:20.19,2,上野真弓,セ・二俣川,4/9,3:43.13,,0.93,"49.93,1:43.89,2:53.11"
No.7,女子,200m個人メドレ-,2:34.27,2:57.05,60~64歳,3:20.19,3,高松早智子,セ・南宇都宮,3/4,3:44.63,,0.76,"50.17,1:49.02,2:53.85"
No.7,女子,200m個人メドレ-,2:34.27,2:57.05,60~64歳,3:20.19,4,渡部美紀,セ・育見台,3/6,3:55.69,,1.11,"56.9,1:54.71,3:01.76"
No.7,女子,200m個人メドレ-,2:34.27,2:57.05,60~64歳,3:20.19,5,盛田真規子,セ・二俣川,3/9,4:04.55,,0.76,"1:01.29,2:03.61,3:12.09"
No.7,女子,200m個人メドレ-,2:34.27,2:57.05,60~64歳,3:20.19,6,増子保子,セ・蘇我,1/5,4:32.56,,0.94,"1:08.08,2:22.41,3:32.30"
No.7,女子,200m個人メドレ-,2:31.51,2:48.18,55~59歳,2:51.38,1,角南美貴,セ・我孫子,3/8,4:02.82,,0.73,"51.5,1:54.80,3:00.47"
No.7,女子,200m個人メドレ-,2:31.51,2:48.18,55~59歳,2:51.38,2,山口仁子,セ・上池袋,2/6,4:13.87,,,"59.94,2:09.96,3:24.65"
No.7,女子,200m個人メドレ-,2:31.02,2:39.26,50~54歳,2:54.21,1,広瀬百合香,セ・戸塚,5/7,2:54.88,,0.67,"36.19,1:20.50,2:13.99"
No.7,女子,200m個人メドレ-,2:31.02,2:39.26,50~54歳,2:54.21,2,鎌田和代,セ・千葉みなと,4/5,3:12.10,,0.77,"41.13,1:30.78,2:27.65"
No.7,女子,200m個人メドレ-,2:31.02,2:39.26,50~54歳,2:54.21,3,大島江理子,セ・大森,4/3,3:28.78,,0.76,"43.88,1:41.61,2:42.46"
No.7,女子,200m個人メドレ-,2:31.02,2:39.26,50~54歳,2:54.21,4,白須靖子,セ・市ヶ尾,4/10,3:37.66,,0.79,"51.1,1:51.17,2:48.37"
No.7,女子,200m個人メドレ-,2:31.02,2:39.26,50~54歳,2:54.21,5,小田桐知子,セ・志木,4/2,3:50.90,,1.08,"46.03,1:51.77,2:56.51"
No.7,女子,200m個人メドレ-,2:21.37,2:32.81,45~49歳,2:49.83,1,羽田文,セ・成城,5/8,3:06.87,,0.80,"40.13,1:26.83,2:22.19"
No.7,女子,200m個人メドレ-,2:21.37,2:32.81,45~49歳,2:49.83,2,青山里香,セ・成瀬,5/10,3:14.43,,0.94,"44.95,1:30.39,2:30.95"
No.7,女子,200m個人メドレ-,2:21.37,2:32.81,45~49歳,2:49.83,3,佐藤桂子,セ・横浜,4/1,3:46.56,,0.81,"48.1,1:50.08,2:56.57"
No.7,女子,200m個人メドレ-,2:21.37,2:32.81,45~49歳,2:49.83,4,赤坂恵美子,セ・志木,3/10,4:09.60,,0.91,"51.04,1:55.59,3:07.78"
No.7,女子,200m個人メドレ-,2:25.03,2:30.15,40~44歳,2:44.54,1,山田未紗子,セ・越谷,4/6,3:16.66,,0.80,"41.9,1:36.27,2:30.49"
No.7,女子,200m個人メドレ-,2:13.89,2:19.28,30~34歳,2:27.06,1,長谷川恵,セ・阿佐谷,5/3,2:53.41,,0.83,"37.94,1:23.84,2:13.08"
No.7,女子,200m個人メドレ-,2:20.71,2:20.71,25~29歳,2:30.52,1,竹下菜々美,セ・二俣川,5/4,2:43.86,,0.70,"33.85,1:15.68,2:06.21"
No.7,女子,200m個人メドレ-,2:20.71,2:20.71,25~29歳,2:30.52,2,遠藤桃,セ・越谷,5/2,2:48.44,,0.86,"33.68,1:18.64,2:06.69"
No.7,女子,200m個人メドレ-,2:20.71,2:20.71,25~29歳,2:30.52,3,石井理桜子,セ・市川,5/1,3:01.46,,0.70,"36.78,1:24.77,2:17.34"
No.7,女子,200m個人メドレ-,2:20.71,2:20.71,25~29歳,2:30.52,4,嶋田菜々子,セ・おおたか,5/9,3:12.07,,0.69,"39.94,1:27.11,2:25.06"
No.7,女子,200m個人メドレ-,2:20.71,2:20.71,25~29歳,2:30.52,5,足立知実,セ・平塚,4/7,3:21.03,,0.72,"42.11,1:34.69,2:33.07"
No.7,女子,200m個人メドレ-,2:20.71,2:23.20,18~24歳,2:28.28,1,竹山睦月,セ・南青山,5/5,2:37.25,,0.64,"32.63,1:16.31,1:59.47"
No.7,女子,200m個人メドレ-,2:20.71,2:23.20,18~24歳,2:28.28,2,髙﨑優奈,セ・清瀬,5/6,2:42.89,,0.73,"33.06,1:12.75,2:02.36"
No.8,男子,200m個人メドレ-,2:53.12,3:09.33,75~79歳,3:25.77,1,木津誠,セ・成城,2/8,3:27.10,,0.84,"44.39,1:40.42,2:41.87"
No.8,男子,200m個人メドレ-,2:53.12,3:09.33,75~79歳,3:25.77,2,白井清嗣,セ・大宮宮原,1/8,4:18.78,,0.92,"57.43,2:13.11,3:24.41"
No.8,男子,200m個人メドレ-,2:53.12,3:09.33,75~79歳,3:25.77,3,伴野保志,セ・阿佐谷,1/2,4:48.12,,1.24,"1:07.47,2:26.88,3:38.77"
No.8,男子,200m個人メドレ-,2:35.97,2:49.11,70~74歳,3:21.08,1,菱沼和男,セ・葛西,1/7,4:00.95,,0.94,"57.12,2:02.92,3:11.86"
No.8,男子,200m個人メドレ-,2:25.22,2:40.00,65~69歳,2:48.85,1,齋藤博憲,ザノス鶴見,1/5,3:30.31,,1.12,"45.24,1:46.07,2:46.63"
No.8,男子,200m個人メドレ-,2:21.99,2:29.47,60~64歳,2:39.43,1,渡部佳彦,セ・市川,4/5,2:45.96,,0.73,"33.68,1:18.09,2:07.98"
No.8,男子,200m個人メドレ-,2:21.99,2:29.47,60~64歳,2:39.43,2,久保田勝己,セ・阿佐谷,2/5,3:20.51,,0.81,"43.31,1:36.58,2:37.50"
No.8,男子,200m個人メドレ-,2:21.99,2:29.47,60~64歳,2:39.43,3,小池輝明,セ・武蔵小杉,2/4,3:23.13,,0.90,"44.36,1:43.07,2:34.63"
No.8,男子,200m個人メドレ-,2:21.99,2:29.47,60~64歳,2:39.43,4,大塚克,セ・市川,2/6,3:27.32,,0.74,"43.24,1:38.10,2:35.14"
No.8,男子,200m個人メドレ-,2:21.99,2:29.47,60~64歳,2:39.43,5,近江信之,セ・武蔵小杉,2/2,3:28.76,,0.95,"45.55,1:41.71,2:42.96"
No.8,男子,200m個人メドレ-,2:21.99,2:29.47,60~64歳,2:39.43,6,小島淳,セ・柏,1/3,3:30.84,,0.78,"48.15,1:43.79,2:44.41"
No.8,男子,200m個人メドレ-,2:21.99,2:29.47,60~64歳,2:39.43,7,横山恵一,セ・越谷,2/9,3:31.69,,0.87,"46.61,1:43.99,2:43.79"
No.8,男子,200m個人メドレ-,2:21.99,2:29.47,60~64歳,2:39.43,8,二宮博,セ・横浜,1/4,3:47.11,,0.82,"43.13,1:48.93,2:53.29"
No.8,男子,200m個人メドレ-,2:20.67,2:26.24,55~59歳,2:36.80,1,小倉秀和,セ・清瀬,4/6,2:46.13,,0.83,"33.33,1:17.15,2:08.32"
No.8,男子,200m個人メドレ-,2:20.67,2:26.24,55~59歳,2:36.80,2,高田義久,セ・八王子,2/7,3:28.11,,0.72,"39.79,1:38.74,2:36.73"
No.8,男子,200m個人メドレ-,2:11.15,2:20.54,50~54歳,2:32.41,1,中村良樹,セ・武蔵小杉,5/1,2:42.88,,0.69,"33.32,1:15.88,2:04.71"
No.8,男子,200m個人メドレ-,2:11.15,2:20.54,50~54歳,2:32.41,2,長野三郎,セ・千葉みなと,5/9,2:45.79,,0.75,"33.1,1:14.78,2:05.39"
No.8,男子,200m個人メドレ-,2:11.15,2:20.54,50~54歳,2:32.41,3,渡部弘一,セ・市川,3/4,2:48.93,,0.77,"32.06,1:17.21,2:10.18"
No.8,男子,200m個人メドレ-,2:11.15,2:20.54,50~54歳,2:32.41,4,柄澤英也,セ・用賀,4/7,2:50.71,,0.65,"35.9,1:21.40,2:12.71"
No.8,男子,200m個人メドレ-,2:11.15,2:20.54,50~54歳,2:32.41,5,村上政行,セ・武蔵小杉,4/8,2:51.57,,0.88,"37.55,1:25.57,2:11.62"
No.8,男子,200m個人メドレ-,2:11.15,2:20.54,50~54歳,2:32.41,6,北村洋一,セ・大森,4/1,2:54.54,,0.63,"36.73,1:22.64,2:12.00"
No.8,男子,200m個人メドレ-,2:11.15,2:20.54,50~54歳,2:32.41,7,平田博之,セ・ときわ台,3/6,2:59.51,,0.90,"36.87,1:23.83,2:18.03"
No.8,男子,200m個人メドレ-,2:11.15,2:20.54,50~54歳,2:32.41,8,成島毅,セ・F宇都宮,3/9,3:03.56,,0.76,"37.42,1:28.60,2:21.76"
No.8,男子,200m個人メドレ-,2:11.15,2:20.54,50~54歳,2:32.41,9,祖川久茂,セ・長津田,3/8,3:06.01,,0.72,"37.13,1:30.88,2:20.47"
No.8,男子,200m個人メドレ-,2:11.15,2:20.54,50~54歳,2:32.41,10,渡誠,セ・清瀬,3/2,3:08.12,,0.91,"43.91,1:31.21,2:26.01"
No.8,男子,200m個人メドレ-,2:11.15,2:20.54,50~54歳,2:32.41,11,佐々木栄一,G-SPA,3/3,3:19.57,,0.78,"40.47,1:30.75,2:31.27"
No.8,男子,200m個人メドレ-,2:11.15,2:20.54,50~54歳,2:32.41,12,大川明徳,セ・阿佐谷,1/6,3:33.90,,1.02,"39.41,1:41.23,2:44.63"
No.8,男子,200m個人メドレ-,2:10.09,2:16.32,45~49歳,2:19.57,1,羽田浩一,セ・成城,5/6,2:42.73,,0.77,"32.65,1:15.92,2:02.96"
No.8,男子,200m個人メドレ-,2:10.09,2:16.32,45~49歳,2:19.57,2,桐本兼輔,セ・福生,4/10,2:45.29,,0.70,"32.16,1:16.64,2:06.38"
No.8,男子,200m個人メドレ-,2:10.09,2:16.32,45~49歳,2:19.57,3,長谷川仁,セ・南千住,4/4,2:47.77,,0.73,"34.62,1:16.20,2:09.45"
No.8,男子,200m個人メドレ-,2:10.09,2:16.32,45~49歳,2:19.57,4,皆川雅登,セ・大宮宮原,5/4,2:51.11,,0.79,"35.78,1:23.02,2:11.82"
No.8,男子,200m個人メドレ-,2:10.09,2:16.32,45~49歳,2:19.57,5,渡邊忠幸,セ・南宇都宮,4/2,2:53.55,,0.71,"33.18,1:18.68,2:10.72"
No.8,男子,200m個人メドレ-,2:10.09,2:16.32,45~49歳,2:19.57,6,齊藤仁,セ・茂原,3/10,3:01.35,,0.71,"36.62,1:22.37,2:17.17"
No.8,男子,200m個人メドレ-,2:10.09,2:16.32,45~49歳,2:19.57,7,大沢祐輔,セ・福生,3/1,3:18.10,,0.66,"39.99,1:32.44,2:26.81"
No.8,男子,200m個人メドレ-,2:08.63,2:13.76,40~44歳,2:20.44,1,大窪康治,セ・清瀬,5/8,2:24.42,,0.74,"29.97,1:05.82,1:47.61"
No.8,男子,200m個人メドレ-,2:08.63,2:13.76,40~44歳,2:20.44,2,棚網宏之,セ・阿佐谷,6/8,2:34.15,,0.67,"32.49,1:11.42,1:56.43"
No.8,男子,200m個人メドレ-,2:08.63,2:13.76,40~44歳,2:20.44,3,大作善祥,セ・柏,5/2,2:40.69,,0.87,"34.81,1:21.44,2:02.47"
No.8,男子,200m個人メドレ-,2:08.63,2:13.76,40~44歳,2:20.44,4,図師拓千,セ・市ヶ尾,5/10,2:43.56,,0.64,"33.86,1:18.04,2:09.91"
No.8,男子,200m個人メドレ-,2:08.63,2:13.76,40~44歳,2:20.44,5,植木秀志,セ・久喜,4/3,2:43.63,,0.63,"30.73,1:15.79,2:05.81"
No.8,男子,200m個人メドレ-,2:08.63,2:13.76,40~44歳,2:20.44,6,和田祐児,セ・松戸,2/3,3:19.48,,0.91,"42.21,1:39.63,2:35.34"
No.8,男子,200m個人メドレ-,2:05.65,2:08.72,35~39歳,2:17.09,1,浅生真,セ・市川,4/9,2:52.32,,0.78,"35.35,1:22.28,2:10.39"
No.8,男子,200m個人メドレ-,2:02.18,2:07.47,30~34歳,2:17.41,1,村田健太,セ・二俣川,6/6,2:26.19,,0.74,"31.27,1:10.89,1:53.48"
No.8,男子,200m個人メドレ-,2:02.18,2:07.47,30~34歳,2:17.41,2,土屋大貴,セ・平塚,5/5,2:29.32,,0.64,"29.98,1:09.87,1:54.94"
No.8,男子,200m個人メドレ-,2:02.18,2:07.47,30~34歳,2:17.41,3,石井孟,セ・葛西,5/7,2:38.22,,0.67,"29.73,1:12.63,1:57.02"
No.8,男子,200m個人メドレ-,2:03.62,2:04.41,25~29歳,2:10.44,1,今里昂哉,セ・清瀬,6/4,2:20.70,,0.77,"28.63,1:05.40,1:45.30"
No.8,男子,200m個人メドレ-,2:03.62,2:04.41,25~29歳,2:10.44,2,小野健,セ・天王洲,6/3,2:29.19,,0.66,"30.16,1:11.06,1:54.37"
No.8,男子,200m個人メドレ-,2:03.62,2:04.41,25~29歳,2:10.44,3,佐々木天太,セ・用賀,6/2,2:45.25,,0.78,"32.45,1:14.08,2:00.71"
No.8,男子,200m個人メドレ-,2:03.62,2:04.90,18~24歳,2:08.80,1,相原健吾,セ・目黒,6/9,2:23.84,,0.68,"29.3,1:08.16,1:48.33"
No.8,男子,200m個人メドレ-,2:03.62,2:04.90,18~24歳,2:08.80,2,和澤情,セ・八王子,6/7,2:25.11,,0.70,"29.23,1:07.60,1:51.43"
No.8,男子,200m個人メドレ-,2:03.62,2:04.90,18~24歳,2:08.80,3,田中壮一郎,セ・二俣川,6/1,2:28.80,,0.77,"28.81,1:07.50,1:50.82"
No.8,男子,200m個人メドレ-,2:03.62,2:04.90,18~24歳,2:08.80,4,山浦信,セ・成城,6/5,2:29.74,,0.74,"32.62,1:13.43,1:54.50"
No.8,男子,200m個人メドレ-,2:03.62,2:04.90,18~24歳,2:08.80,5,南里輝,セ・蒲田,5/3,2:34.79,,0.58,"31.32,1:12.61,1:56.60"
No.8,男子,200m個人メドレ-,2:03.62,2:04.90,18~24歳,2:08.80,6,萩原裕大,セ・清瀬,6/10,2:37.44,,0.59,"31.32,1:09.78,1:57.41"
No.8,男子,200m個人メドレ-,2:03.62,2:04.90,18~24歳,2:08.80,7,村田雅治,セ・長津田,3/7,2:47.55,,0.65,"31.32,1:14.21,2:03.37"
No.9,女子,100m自由形,1:27.42,1:27.42,85~89歳,1:45.73,1,平田美佐子,セ・天王洲,1/7,2:17.12,,1.22,1:03.02
No.9,女子,100m自由形,1:23.16,1:23.16,80~84歳,1:38.81,1,八田清子,セ・松戸,5/5,1:44.17,,0.72,47.26
No.9,女子,100m自由形,1:23.16,1:23.16,80~84歳,1:38.81,2,安澤イソ子,セ・市ヶ尾,2/8,2:00.41,,0.90,55.1
No.9,女子,100m自由形,1:23.16,1:23.16,80~84歳,1:38.81,3,永島郁子,ザノス鶴見,2/3,2:03.17,,0.98,59.84
No.9,女子,100m自由形,1:23.16,1:23.16,80~84歳,1:38.81,4,武藤治子,セ・二俣川,1/2,2:05.95,,,59.06
No.9,女子,100m自由形,1:23.16,1:23.16,80~84歳,1:38.81,5,舘野圭子,セ・用賀,1/5,2:09.80,,0.90,1:02.43
No.9,女子,100m自由形,1:23.16,1:23.16,80~84歳,1:38.81,6,久保美紀枝,セ・流山,3/9,2:10.06,,1.15,58.06
No.9,女子,100m自由形,1:17.38,1:19.71,75~79歳,1:36.96,1,宇田川礼子,セ・我孫子,3/5,1:45.14,,1.10,49.04
No.9,女子,100m自由形,1:17.38,1:19.71,75~79歳,1:36.96,2,竹原君枝,セ・慶應日吉,4/5,1:45.59,,1.14,51.36
No.9,女子,100m自由形,1:17.38,1:19.71,75~79歳,1:36.96,3,内田良子,セ・用賀,5/8,1:45.92,,0.83,51.87
No.9,女子,100m自由形,1:17.38,1:19.71,75~79歳,1:36.96,4,岡田まり子,cs南行徳,5/7,1:46.09,,0.97,49.67
No.9,女子,100m自由形,1:17.38,1:19.71,75~79歳,1:36.96,5,松木弘美,セ・志木,3/7,1:51.47,,0.74,51.73
No.9,女子,100m自由形,1:17.38,1:19.71,75~79歳,1:36.96,6,大手佳江,セ・南千住,2/5,2:03.18,,1.17,58.61
No.9,女子,100m自由形,1:17.38,1:19.71,75~79歳,1:36.96,7,安部澄子,セ・我孫子,1/3,2:05.25,,,56.88
No.9,女子,100m自由形,1:17.38,1:19.71,75~79歳,1:36.96,8,後藤節子,セ・松戸,2/7,2:10.30,,1.04,1:00.51
No.9,女子,100m自由形,1:06.68,1:14.28,70~74歳,1:21.82,1,原田岳美,セ・藤沢,9/2,1:27.82,,0.76,41.71
No.9,女子,100m自由形,1:06.68,1:14.28,70~74歳,1:21.82,2,中平信子,セ・成瀬,8/7,1:29.11,,0.87,41.71
No.9,女子,100m自由形,1:06.68,1:14.28,70~74歳,1:21.82,3,吉野治子,セ・成城,8/5,1:31.97,,0.78,42.87
No.9,女子,100m自由形,1:06.68,1:14.28,70~74歳,1:21.82,4,後藤明美,セ・天王洲,4/4,1:33.48,,0.96,46.39
No.9,女子,100m自由形,1:06.68,1:14.28,70~74歳,1:21.82,5,近藤ひな子,セ・二俣川,8/4,1:34.05,,1.03,44.35
No.9,女子,100m自由形,1:06.68,1:14.28,70~74歳,1:21.82,6,舛尾妃呂子,セ・稲毛海岸,5/2,1:35.37,,0.91,46.1
No.9,女子,100m自由形,1:06.68,1:14.28,70~74歳,1:21.82,7,青砥美智子,セ・葛西,8/3,1:36.78,,0.93,46.3
No.9,女子,100m自由形,1:06.68,1:14.28,70~74歳,1:21.82,8,伊藤幸英,ザノス鶴見,6/8,1:40.10,,1.03,48.55
No.9,女子,100m自由形,1:06.68,1:14.28,70~74歳,1:21.82,9,清水裕子,セ・二俣川,3/6,1:40.57,,0.92,49.1
No.9,女子,100m自由形,1:06.68,1:14.28,70~74歳,1:21.82,10,相澤史子,セ・松戸,6/4,1:41.35,,0.78,48.15
No.9,女子,100m自由形,1:06.68,1:14.28,70~74歳,1:21.82,11,大熊正子,セ・桶川北本,5/6,1:45.28,,0.86,48.37
No.9,女子,100m自由形,1:06.68,1:14.28,70~74歳,1:21.82,12,宮内佳代子,セ・トレッサ,4/1,1:52.24,,0.82,51.15
No.9,女子,100m自由形,1:06.68,1:14.28,70~74歳,1:21.82,13,富樫博子,セ・大森,3/1,1:57.82,,1.63,52.45
No.9,女子,100m自由形,1:06.68,1:14.28,70~74歳,1:21.82,14,于亜芝,セ・南千住,5/9,2:00.02,,1.02,55.76
No.9,女子,100m自由形,1:06.68,1:14.28,70~74歳,1:21.82,15,長谷川節子,セ・天王洲,2/6,2:06.28,,0.90,1:00.32
No.9,女子,100m自由形,1:06.68,1:14.28,70~74歳,1:21.82,16,友野敬子,セ・館山,1/4,2:13.72,,1.03,1:03.36
No.9,女子,100m自由形,1:04.89,1:13.05,65~69歳,1:18.83,1,菅野泰子,セ・葛西,9/5,1:20.91,,0.76,39.81
No.9,女子,100m自由形,1:04.89,1:13.05,65~69歳,1:18.83,2,野島正代,セ・阿佐谷,9/9,1:25.91,,0.84,41.06
No.9,女子,100m自由形,1:04.89,1:13.05,65~69歳,1:18.83,3,山﨑京子,セ・横浜,9/8,1:29.91,,0.96,43.64
No.9,女子,100m自由形,1:04.89,1:13.05,65~69歳,1:18.83,4,川久保ちづる,ザノス川崎,7/10,1:33.01,,0.89,42.31
No.9,女子,100m自由形,1:04.89,1:13.05,65~69歳,1:18.83,5,井上美佐子,セ・大森,4/10,1:37.17,,0.76,44.08
No.9,女子,100m自由形,1:04.89,1:13.05,65~69歳,1:18.83,6,古宇田淳子,セ・南千住,7/4,1:37.74,,0.77,46.33
No.9,女子,100m自由形,1:04.89,1:13.05,65~69歳,1:18.83,7,五月女美幸,セ・宇都宮,6/3,1:38.04,,1.01,47.38
No.9,女子,100m自由形,1:04.89,1:13.05,65~69歳,1:18.83,8,久松葉子,セ・成瀬,7/6,1:38.08,,1.17,47.6
No.9,女子,100m自由形,1:04.89,1:13.05,65~69歳,1:18.83,9,杉山規子,セ・川越,4/3,1:39.89,,0.89,49.31
No.9,女子,100m自由形,1:04.89,1:13.05,65~69歳,1:18.83,10,光畑千栄子,セ・成瀬,6/9,1:41.19,,0.97,48.26
No.9,女子,100m自由形,1:04.89,1:13.05,65~69歳,1:18.83,11,臼井希代子,セ・大宮宮原,8/10,1:41.92,,1.14,47.8
No.9,女子,100m自由形,1:04.89,1:13.05,65~69歳,1:18.83,12,石崎節代,セ・南千住,6/2,1:44.12,,1.03,48.97
No.9,女子,100m自由形,1:04.89,1:13.05,65~69歳,1:18.83,13,関矢秀子,セ・大宮宮原,3/3,1:47.79,,1.07,48.66
No.9,女子,100m自由形,1:04.89,1:13.05,65~69歳,1:18.83,14,譲原恵子,セ・我孫子,4/9,1:48.34,,1.05,51.6
No.9,女子,100m自由形,1:04.89,1:13.05,65~69歳,1:18.83,15,下川喜美枝,セ・南千住,6/7,1:48.44,,0.91,51.39
No.9,女子,100m自由形,1:04.89,1:13.05,65~69歳,1:18.83,16,松浦敏子,セ・我孫子,3/8,1:49.99,,0.99,49.35
No.9,女子,100m自由形,1:04.89,1:13.05,65~69歳,1:18.83,17,宮原美穂,セ・福生,5/3,1:52.05,,0.81,52.44
No.9,女子,100m自由形,1:04.89,1:13.05,65~69歳,1:18.83,18,中島初美,セ・大森,3/10,1:54.95,,1.24,53.31
No.9,女子,100m自由形,1:03.83,1:07.78,60~64歳,1:11.31,1,永瀬秀子,セ・二俣川,11/2,1:13.83,,0.82,35.28
No.9,女子,100m自由形,1:03.83,1:07.78,60~64歳,1:11.31,2,西井良子,セ・福生,10/8,1:14.51,,0.73,35.46
No.9,女子,100m自由形,1:03.83,1:07.78,60~64歳,1:11.31,3,石原なおみ,セ・阿佐谷,11/1,1:20.22,,0.80,37.54
No.9,女子,100m自由形,1:03.83,1:07.78,60~64歳,1:11.31,4,高橋久美,セ・市川,9/7,1:26.12,,0.74,40.92
No.9,女子,100m自由形,1:03.83,1:07.78,60~64歳,1:11.31,5,福原美奈,セ・稲毛海岸,9/3,1:29.02,,0.77,41.33
No.9,女子,100m自由形,1:03.83,1:07.78,60~64歳,1:11.31,6,高松早智子,セ・南宇都宮,8/1,1:29.17,,0.82,42.71
No.9,女子,100m自由形,1:03.83,1:07.78,60~64歳,1:11.31,7,野崎由美子,セ・おおたか,7/5,1:32.01,,0.95,44.98
No.9,女子,100m自由形,1:03.83,1:07.78,60~64歳,1:11.31,8,茂櫛典子,セ・成城,6/5,1:32.03,,0.72,44.6
No.9,女子,100m自由形,1:03.83,1:07.78,60~64歳,1:11.31,9,細見あけみ,セ・千葉みなと,5/1,1:33.06,,0.83,44.63
No.9,女子,100m自由形,1:03.83,1:07.78,60~64歳,1:11.31,10,加藤雅弓,セ・新都心,7/7,1:36.11,,1.20,45.64
No.9,女子,100m自由形,1:03.83,1:07.78,60~64歳,1:11.31,11,佐々木れい,セ・志木,4/6,1:40.52,,0.83,48.58
No.9,女子,100m自由形,1:03.83,1:07.78,60~64歳,1:11.31,12,久保とし子,セ・長津田,6/6,1:45.63,,1.08,48.38
No.9,女子,100m自由形,1:01.87,1:05.21,55~59歳,1:10.06,1,篠原理恵,セ・南宇都宮,11/8,1:14.24,,0.66,35.21
No.9,女子,100m自由形,1:01.87,1:05.21,55~59歳,1:10.06,2,前畑章子,セ・慶應日吉,10/4,1:17.36,,0.77,36.57
No.9,女子,100m自由形,1:01.87,1:05.21,55~59歳,1:10.06,3,西田三佐子,セ・大宮宮原,8/6,1:25.67,,0.67,41.5
No.9,女子,100m自由形,1:01.87,1:05.21,55~59歳,1:10.06,4,小倉直美,セ・清瀬,7/8,1:26.95,,0.82,39.96
No.9,女子,100m自由形,1:01.87,1:05.21,55~59歳,1:10.06,5,小林弘子,ザノス鶴見,10/7,1:27.36,,0.97,40.5
No.9,女子,100m自由形,1:01.87,1:05.21,55~59歳,1:10.06,6,佐藤直子,セ・我孫子,6/1,1:37.54,,0.76,42.82
No.9,女子,100m自由形,1:01.87,1:05.21,55~59歳,1:10.06,7,鈴木夏実,セ・慶應日吉,7/3,1:38.51,,1.00,46.92
No.9,女子,100m自由形,1:01.87,1:05.21,55~59歳,1:10.06,8,冨樫真樹子,セ・用賀,4/2,1:38.86,,0.76,45.91
No.9,女子,100m自由形,1:01.87,1:05.21,55~59歳,1:10.06,9,下段千寿子,セ・越谷,4/8,1:43.45,,0.84,47.13
No.9,女子,100m自由形,1:01.87,1:05.21,55~59歳,1:10.06,10,佐々木タ子,セ・市ヶ尾,4/7,1:52.34,,0.99,53.97
No.9,女子,100m自由形,1:01.87,1:05.21,55~59歳,1:10.06,11,日置睦,セ・我孫子,2/2,1:55.17,,0.89,53.2
No.9,女子,100m自由形,1:01.87,1:05.21,55~59歳,1:10.06,12,飯田美奈子,セ・西新井,2/4,2:19.53,,1.15,1:03.91
No.9,女子,100m自由形,1:00.40,1:03.99,50~54歳,1:06.25,1,杉本浩美,セ・南千住,11/4,1:11.43,,0.73,
No.9,女子,100m自由形,1:00.40,1:03.99,50~54歳,1:06.25,2,佐々木美佐,セ・平塚,11/6,1:13.87,,0.84,34.98
No.9,女子,100m自由形,1:00.40,1:03.99,50~54歳,1:06.25,3,原田佳子,セ・葛西,11/5,1:14.10,,0.74,34.82
No.9,女子,100m自由形,1:00.40,1:03.99,50~54歳,1:06.25,4,石井紀美子,セ・s湘南台,10/3,1:22.21,,0.72,37.44
No.9,女子,100m自由形,1:00.40,1:03.99,50~54歳,1:06.25,5,酒井貴代,セ・大森,7/9,1:29.71,,0.74,41.24
No.9,女子,100m自由形,1:00.40,1:03.99,50~54歳,1:06.25,6,捶井泰子,セ・用賀,8/8,1:34.71,,0.87,45.12
No.9,女子,100m自由形,1:00.40,1:03.99,50~54歳,1:06.25,7,津田千鶴,セ・育見台,8/2,1:35.07,,0.95,46.81
No.9,女子,100m自由形,1:00.40,1:03.99,50~54歳,1:06.25,8,中村奈穂美,セ・越谷,5/10,1:35.86,,0.91,43.64
No.9,女子,100m自由形,1:00.40,1:03.99,50~54歳,1:06.25,9,北瀬あづさ,セ・市ヶ尾,7/2,1:37.15,,0.77,48.93
No.9,女子,100m自由形,57.4,1:03.18,45~49歳,1:08.19,1,佐々木彩,セ・成城,12/1,1:11.26,,0.70,32.99
No.9,女子,100m自由形,57.4,1:03.18,45~49歳,1:08.19,2,木村美佐子,セ・南宇都宮,12/10,1:12.83,,0.79,35.27
No.9,女子,100m自由形,57.4,1:03.18,45~49歳,1:08.19,3,飯澤美香,セ・我孫子,9/1,1:17.56,,0.80,37.09
No.9,女子,100m自由形,57.4,1:03.18,45~49歳,1:08.19,4,小室桃子,セ・八王子,10/6,1:18.34,,0.87,35.38
No.9,女子,100m自由形,57.4,1:03.18,45~49歳,1:08.19,5,手島幸恵,セ・藤沢,7/1,1:18.78,,0.96,37.24
No.9,女子,100m自由形,57.4,1:03.18,45~49歳,1:08.19,6,藤本淑恵,セ・平塚,9/4,1:24.74,,0.91,40.32
