種別,No,種目,年齢区分,順位,氏名_チーム名,所属_合計年齢,水路,時間,備考,メンバー1,メンバー2,メンバー3,メンバー4
リレー,No.4,男子4×50mフリーリレー,72~119歳,1,成城,91歳,4/6,1:41.59,,板場貴大,宀田遼太,黒田大介,服部碧
リレー,No.4,男子4×50mフリーリレー,72~119歳,2,二俣川,106歳,4/9,1:48.44,,田中啓二月,和田佳明,成田昌一,田中一郎
リレー,No.4,男子4×50mフリーリレー,72~119歳,3,天王洲,109歳,3/6,1:5っ.51,,木渕大輝,中村,加間英貴,鈴木裕介
リレー,No.5,女子4×100mフリーリレー,280~っ19歳,1,天王洲,281歳,1/2,6:56.45,,小宮山美芽,梅田栄己子,後藤明美,浅野みどり
リレー,No.5,女子4×100mフリーリレー,240~279歳,1,二俣川,244歳,2/8,5:45.26,,松川律子,盛田規子,野島久枝,永瀬秀子
リレー,No.5,女子4×100mフリーリレー,240~279歳,2,慶應日吉,250歳,1/7,6:19.96,,森谷登志,鈴木夏,高見沢ゅみ子,田村明美
リレー,No.5,女子4×100mフリーリレー,240~279歳,3,南千住,254歳,1/8,6:29.46,,杉本浩美,石崎節代,古宇田」子,下川美枝
リレー,No.5,女子4×100mフリーリレー,200~2っ9歳,1,松戸,236歳,2/3,5:っ4.58,,及川,青木子,八尋,高橋
リレー,No.5,女子4×100mフリーリレー,200~2っ9歳,2,大宮宮原,217歳,1/5,5:48.45,,花木尚美,坂井慶子,市川百合子,若林朋子
リレー,No.5,女子4×100mフリーリレー,200~2っ9歳,3,阿佐谷,204歳,1/4,6:17.16,,棚網恵理,三嶋祐子,大久呆彩子,宮百合恵
リレー,No.5,女子4×100mフリーリレー,200~2っ9歳,4,大森,207歳,2/7,6:28.っ5,,髙島典子,森信子,桐沢ひとみ,冨永結衣子
リレー,No.5,女子4×100mフリーリレー,160~199歳,1,二俣川,169歳,2/4,5:17.20,,竹下菜々美,草野茜,吉池奈々,前田由希映
リレー,No.5,女子4×100mフリーリレー,160~199歳,2,慶應日吉,172歳,2/2,5:20.26,,宮本八重,RacaruGabriela,福本麻美,小豆澤和代
リレー,No.5,女子4×100mフリーリレー,160~199歳,3,天王洲,168歳,1/3,6:1っ.72*手動,,萩原ゅりか,井島孝子,中辷澄美,四井美穂
リレー,No.5,女子4×100mフリーリレー,160~199歳,4,長津田,190歳,1/6,6:15.55,,久呆とし子,久呆かおり,久呆美由幻,宮林佑.
リレー,No.5,女子4×100mフリーリレー,120~159歳,1,長津田,129歳,2/6,4:41.52,,吉村余,川北恵,森谷麻貴,高橋良
リレー,No.5,女子4×100mフリーリレー,120~159歳,2,成城,141歳,2/5,4:44.87,,仲田美,丸都,中畑眸,佐々木彩
リレー,No.6,男子4×100mフリーリレー,200~2っ9歳,1,長津田,212歳,1/5,4:22.02,,花井一也,藤本和,星野隆,矢部裕之
リレー,No.6,男子4×100mフリーリレー,200~2っ9歳,2,市ヶ尾,209歳,2/2,4:2っ.10,,田窪達,安間稔,山内悠,吉岡人
リレー,No.6,男子4×100mフリーリレー,200~2っ9歳,3,二俣川,208歳,1/7,4:41.11,,堀川広祐,下家成人,関ロ義和,草野剛史
リレー,No.6,男子4×100mフリーリレー,200~2っ9歳,4,天王洲,200歳,1/8,5:っ1.19,,寺田遼太,千葉忠英,日暮正明,佐藤流生
リレー,No.6,男子4×100mフリーリレー,160~199歳,1,二俣川,167歳,2/5,っ:50.5っ,,前田行,知見彦,鶴谷学,前田輔
リレー,No.6,男子4×100mフリーリレー,160~199歳,2,天王洲,162歳,1/4,4:15.9っ,,小野健,倉持公一,久保卓士,星友也
リレー,No.6,男子4×100mフリーリレー,160~199歳,3,成城,173歳,2/7,4:11.21,,石井龍,村上守,宀田遼太,羽田一
リレー,No.6,男子4×100mフリーリレー,160~199歳,4,大宀宀原,174歳,1/6,4:20.8っ,,皆川雅登,宀川則仁,川瀬健次,岡内昭伍
リレー,No.6,男子4×100mフリーリレー,160~199歳,5,阿佐谷,189歳,1/3,5:20.0っ,,紺野忠大,若杉佳宏,大川明徳,松本隆宏
リレー,No.6,男子4×100mフリーリレー,120~159歳,1,阿佐谷,152歳,2/4,4:10.61,,和田弘太郎,津守陽介,和田,棚網宏之
リレー,No.6,男子4×100mフリーリレー,12~119歳,1,成城,88歳,2/6,っ:48.54,,服部碧,黒田大介,柿召龍史,板場貴大
リレー,No.6,男子4×100mフリーリレー,12~119歳,2,葛西,96歳,2/3,4:18.12,,嶋田翔太,織戸友宏,矢野匠,加納聖士
リレー,No.6,男子4×100mフリーリレー,12~119歳,3,天王洲,109歳,2/8,4:20.05,,木渕大輝,中村,加間英貴,鈴木裕介
個人,No.7,女子200m個人メドレー,80~84歳,1,長谷部征子,セ・八王子,1/7,4:39.50,・大会新,,,,
個人,No.7,女子200m個人メドレー,75~79歳,1,大山恵子,セ・葛西,2/7,3:57.19,・大会新,,,,
個人,No.7,女子200m個人メドレー,70~74歳,1,菅野泰子,セ・葛西,3/5,3:27.63,・大会新,,,,
個人,No.7,女子200m個人メドレー,70~74歳,2,瀧下節子,セ・志木,2/9,4:20.54,,,,,
個人,No.7,女子200m個人メドレー,70~74歳,3,水谷裕子,セ・西新井,1/5,4:43.13,,,,,
個人,No.7,女子200m個人メドレー,70~74歳,4,木村恵子セ・,谷,1/8,4:55.40,,,,,
個人,No.7,女子200m個人メドレー,70~74歳,5,松木真知子,セ・ときわ台,1/2,5:00.72,,,,,
個人,No.7,女子200m個人メドレー,65~69歳,1,森谷登志江,セ・慶應日吉,3/7,3:46.89,,,,,
個人,No.7,女子200m個人メドレー,65~69歳,2,井手敦子,セ・慶應日吉,3/8,3:50.18,,,,,
個人,No.7,女子200m個人メドレー,65~69歳,3,育村博子,セ・おおたか,2/4,4:03.84,,,,,
個人,No.7,女子200m個人メドレー,65~69歳,4,久松葉子,セ・成瀬,2/3,4:16.16,,,,,
個人,No.7,女子200m個人メドレー,65~69歳,5,太田初美セ・,谷,1/6,4:31.68,,,,,
個人,No.7,女子200m個人メドレー,60~64歳,1,若林朋子,セ・大宮宮原,4/7,3:08.52,・大会新,,,,
個人,No.7,女子200m個人メドレー,60~64歳,2,田中貴子,セ・清瀬,4/3,3:13.23,・大会新,,,,
個人,No.7,女子200m個人メドレー,60~64歳,3,野島久枝,セ・二俣川,4/9,3:23.07,,,,,
個人,No.7,女子200m個人メドレー,60~64歳,4,高松早智子,セ・南宇都宮,3/9,3:44.05,,,,,
個人,No.7,女子200m個人メドレー,60~64歳,5,盛田真規子,セ・二俣川,2/6,4:03.65,,,,,
個人,No.7,女子200m個人メドレー,55~59歳,1,川村代子,セ・二俣川,3/4,3:27.57,,,,,
個人,No.7,女子200m個人メドレー,55~59歳,2,角南美貴,セ・我孫子,2/8,4:02.32,,,,,
個人,No.7,女子200m個人メドレー,55~59歳,3,山口仁子,セ・上池袋,2/2,4:35.05,,,,,
個人,No.7,女子200m個人メドレー,50~54歳,1,池田百合子,セ・市ヶ尾,5/3,2:46.75,・大会新,,,,
個人,No.7,女子200m個人メドレー,50~54歳,2,広瀬百合香,セ・武蔵小杉,4/5,3:00.91,,,,,
個人,No.7,女子200m個人メドレー,50~54歳,3,大島江理子,セ・大森,3/6,3:28.88,,,,,
個人,No.7,女子200m個人メドレー,50~54歳,4,白須靖子,セ・市ヶ尾,3/2,3:40.13,,,,,
個人,No.7,女子200m個人メドレー,50~54歳,5,比留川美緒,セ・平塚,3/1,3:40.15,,,,,
個人,No.7,女子200m個人メドレー,45~49歳,1,佐桂子セ・,浜,3/3,3:42.93,,,,,
個人,No.7,女子200m個人メドレー,40~44歳,1,中村可奈子,セ・おおたか,4/8,3:14.05,,,,,
個人,No.7,女子200m個人メドレー,40~44歳,2,山田紗子セ・,谷,4/1,3:23.38,,,,,
個人,No.7,女子200m個人メドレー,35~39歳,1,宮下奏子,セ・市ヶ尾,5/7,2:54.31,,,,,
個人,No.7,女子200m個人メドレー,35~39歳,2,川北恵,セ・長津田,5/2,3:01.75,,,,,
個人,No.7,女子200m個人メドレー,30~34歳,1,松前里奈,セ・おおたか,5/6,2:43.75,,,,,
個人,No.7,女子200m個人メドレー,30~34歳,2,遠桃セ・,谷,5/1,2:47.48,,,,,
個人,No.7,女子200m個人メドレー,30~34歳,3,仲田笑美,セ・成城,5/9,2:56.71,,,,,
個人,No.7,女子200m個人メドレー,25~29歳,1,竹下菜々美,セ・二俣川,5/8,2:49.07,,,,,
個人,No.7,女子200m個人メドレー,25~29歳,2,嶋田菜々子,セ・おおたか,4/4,2:55.35,,,,,
個人,No.7,女子200m個人メドレー,25~29歳,3,石井理桜子,セ・市川,4/6,3:03.94,,,,,
個人,No.7,女子200m個人メドレー,25~29歳,4,足立知実,セ・平塚,4/2,3:25.32,,,,,
個人,No.7,女子200m個人メドレー,18~24歳,1,竹山睦月,セ・南青山,5/5,2:40.01,,,,,
個人,No.7,女子200m個人メドレー,18~24歳,2,星野真美,セ・志木,5/4,3:19.74,,,,,
個人,No.8,男子200m個人メドレー,75~79歳,1,木津,セ・成城,2/5,3:30.25,,,,,
個人,No.8,男子200m個人メドレー,75~79歳,2,安藤次郎セ・,山,2/3,3:45.47,,,,,
個人,No.8,男子200m個人メドレー,75~79歳,3,白井清嗣,セ・大宮宮原,1/3,4:20.79,,,,,
個人,No.8,男子200m個人メドレー,75~79歳,4,伴野保志,セ・阿佐谷,1/2,5:04.16,,,,,
個人,No.8,男子200m個人メドレー,70~74歳,1,吉原一彦,セ・阿佐谷,5/4,2:53.07,・大会新,,,,
個人,No.8,男子200m個人メドレー,70~74歳,2,菱沼和男,セ・葛西,1/6,4:00.45,,,,,
個人,No.8,男子200m個人メドレー,70~74歳,3,臼井全人,セ・大宮宮原,1/4,4:03.97,,,,,
個人,No.8,男子200m個人メドレー,65~69歳,1,和田浩一,セ・用賀,4/5,2:56.78,,,,,
個人,No.8,男子200m個人メドレー,65~69歳,2,大塚克,セ・市川,3/9,3:21.23,,,,,
個人,No.8,男子200m個人メドレー,60~64歳,1,渡部佳彦,セ・市川,5/6,2:45.32,,,,,
個人,No.8,男子200m個人メドレー,60~64歳,2,小倉和彦,セ・清瀬,5/8,2:50.59,,,,,
個人,No.8,男子200m個人メドレー,60~64歳,3,神尾尚人,セ・市ヶ尾,3/5,3:05.50,,,,,
個人,No.8,男子200m個人メドレー,60~64歳,4,兼森伸兒,ザノス八景,3/7,3:17.82,,,,,
個人,No.8,男子200m個人メドレー,60~64歳,5,若島健二,セ・二俣川,3/3,3:23.70,,,,,
個人,No.8,男子200m個人メドレー,60~64歳,6,小池輝明,セ・武蔵小杉,3/2,3:25.51,,,,,
個人,No.8,男子200m個人メドレー,60~64歳,7,小島淳,セ・柏,2/8,3:29.26,,,,,
個人,No.8,男子200m個人メドレー,60~64歳,8,横山恵一セ・,谷,2/4,3:31.14,,,,,
個人,No.8,男子200m個人メドレー,60~64歳,9,二宮博,セ・横浜,2/2,3:49.63,,,,,
個人,No.8,男子200m個人メドレー,55~59歳,1,小倉秀和,セ・清瀬,6/9,2:46.20,,,,,
個人,No.8,男子200m個人メドレー,55~59歳,2,柄澤英也,セ・用賀,5/9,2:51.62,,,,,
個人,No.8,男子200m個人メドレー,55~59歳,3,北村洋一,セ・大森,4/6,2:56.35,,,,,
個人,No.8,男子200m個人メドレー,55~59歳,4,町田克浩,セ・大森,4/1,2:59.05,,,,,
個人,No.8,男子200m個人メドレー,55~59歳,5,飯田正敏,セ・用賀,4/8,3:05.77,,,,,
個人,No.8,男子200m個人メドレー,55~59歳,8,福田剛紀,G-SPA,2/6,3:58.63,,,,,
個人,No.8,男子200m個人メドレー,55~59歳,9,大木義之,セ・清瀬,1/8,3:59.92,,,,,
個人,No.8,男子200m個人メドレー,50~54歳,1,田窪,セ・市ヶ尾,7/7,2:34.48,,,,,
個人,No.8,男子200m個人メドレー,50~54歳,3,土井清孝,ザノス鶴見,6/1,2:41.50,,,,,
個人,No.8,男子200m個人メドレー,50~54歳,4,羽田浩一,セ・成城,6/3,2:42.70,,,,,
個人,No.8,男子200m個人メドレー,50~54歳,5,小秀幸,セ・八王子,5/3,2:47.95,,,,,
個人,No.8,男子200m個人メドレー,50~54歳,6,磯貝知弘,セ・柏,5/1,2:52.02,,,,,
個人,No.8,男子200m個人メドレー,50~54歳,7,平田博之,セ・ときわ台,4/4,2:59.64,,,,,
個人,No.8,男子200m個人メドレー,50~54歳,8,祖川久茂,セ・長津田,4/9,3:06.25,,,,,
個人,No.8,男子200m個人メドレー,50~54歳,9,阿部友照,セ・東十条,3/6,3:09.02,,,,,
個人,No.8,男子200m個人メドレー,45~49歳,3,皆川雅登,セ・大宮宮原,5/2,2:52.36,,,,,
個人,No.8,男子200m個人メドレー,45~49歳,4,吉岡範人,セ・市ヶ尾,6/6,2:54.76,,,,,
個人,No.8,男子200m個人メドレー,45~49歳,5,齊藤仁,セ・茂原,3/4,2:59.36,,,,,
個人,No.8,男子200m個人メドレー,45~49歳,6,浅野ワ引,セ・新都心,1/7,3:23.07,,,,,
個人,No.8,男子200m個人メドレー,40~44歳,1,棚網宏之,セ・阿佐谷,7/8,2:34.75,,,,,
個人,No.8,男子200m個人メドレー,40~44歳,2,図師拓千,セ・市ヶ尾,6/8,2:38.65,,,,,
個人,No.8,男子200m個人メドレー,40~44歳,3,浅岡,セ・用賀,4/7,2:54.49,,,,,
個人,No.8,男子200m個人メドレー,35~39歳,1,立石裕太郎,セ・二俣川,7/5,2:24.89,,,,,
個人,No.8,男子200m個人メドレー,35~39歳,2,古川貝-,セ・おおたか,7/1,2:32.51,,,,,
個人,No.8,男子200m個人メドレー,35~39歳,3,津守陽引,セ・阿佐谷,7/2,2:36.32,,,,,
個人,No.8,男子200m個人メドレー,35~39歳,4,長田裕史,セ・柏,6/5,2:37.79,,,,,
個人,No.8,男子200m個人メドレー,35~39歳,5,木村考太,セ・市ヶ尾,5/7,2:38.38,,,,,
個人,No.8,男子200m個人メドレー,30~34歳,1,今里昂哉,セ・清瀬,7/6,2:20.91,,,,,
個人,No.8,男子200m個人メドレー,30~34歳,2,小野健,セ・天王洲,7/4,2:28.66,,,,,
個人,No.8,男子200m個人メドレー,30~34歳,3,前島悠也,セ・葛西,7/9,2:30.27,,,,,
個人,No.8,男子200m個人メドレー,30~34歳,4,成田昌記,セ・二俣川,4/3,2:42.53,,,,,
個人,No.8,男子200m個人メドレー,25~29歳,1,矢野匠,セ・葛西,5/5,3:01.57,,,,,
個人,No.8,男子200m個人メドレー,25~29歳,2,西田仁,ザノス藤が丘,4/2,3:02.80,,,,,
個人,No.8,男子200m個人メドレー,18~24歳,1,三角一汰,セ・新都心,7/3,2:25.93,,,,,
個人,No.8,男子200m個人メドレー,18~24歳,2,重高良彦,セ・育見台,6/7,2:33.53,,,,,
個人,No.8,男子200m個人メドレー,18~24歳,3,山下智也,セ・S湘南台,6/2,2:40.40,,,,,
個人,No.9,女子100m自由形,85~歳,1,熊谷一枝,セ・天王洲,1/1,2:11.56,,,,,
個人,No.9,女子100m自由形,85~歳,2,平田美佐子,セ・天王洲,1/9,2:19.68,,,,,
個人,No.9,女子100m自由形,80~歳,1,安澤イソ子,セ・市ヶ尾,1/4,2:01.13,,,,,
個人,No.9,女子100m自由形,80~歳,2,舘野圭子,セ・用賀,1/8,2:11.41,,,,,
個人,No.9,女子100m自由形,80~歳,3,久美紀枝,セ・流山,1/3,2:12.47,,,,,
個人,No.9,女子100m自由形,80~歳,4,武藤治子,セ・二俣川,1/6,2:13.54,,,,,
個人,No.9,女子100m自由形,75~歳,1,宇田川礼子,セ・我孫子,3/1,1:45.63,,,,,
個人,No.9,女子100m自由形,75~歳,3,若林多恵子,セ・谷津,3/4,1:50.77,,,,,
個人,No.9,女子100m自由形,75~歳,4,浅野美恵子,セ・蒲田,4/6,1:51.22,,,,,
個人,No.9,女子100m自由形,75~歳,5,馬場悦子,セ・清瀬,3/7,1:56.05,,,,,
個人,No.9,女子100m自由形,75~歳,7,原田早苗,セ・南千住,2/9,2:06.52,,,,,
個人,No.9,女子100m自由形,70~歳,1,原田岳美,セ・藤沢,7/6,1:27.36,,,,,
個人,No.9,女子100m自由形,70~歳,2,中平信子,セ・成瀬,7/1,1:29.40,,,,,
個人,No.9,女子100m自由形,70~歳,3,近藤ひな子,セ・二俣川,6/1,1:32.61,,,,,
個人,No.9,女子100m自由形,70~歳,4,後藤明美,セ・天王洲,4/3,1:36.65,,,,,
個人,No.9,女子100m自由形,70~歳,5,相澤史子,セ・松戸,5/2,1:42.52,,,,,
個人,No.9,女子100m自由形,70~歳,6,戸倉陽子,セ・慶應日吉,3/8,1:56.48,,,,,
個人,No.9,女子100m自由形,70~歳,7,富樫博子,セ・大森,2/5,1:59.90,,,,,
個人,No.9,女子100m自由形,70~歳,8,中島初美,セ・大森,1/7,2:00.38,,,,,
個人,No.9,女子100m自由形,70~歳,9,于亜芝,セ・南千住,2/2,2:01.18,,,,,
個人,No.9,女子100m自由形,65~歳,1,野村洋子,ザノス八景,8/8,1:23.86,,,,,
個人,No.9,女子100m自由形,65~歳,2,山﨑京子,セ・横浜,7/7,1:29.52,,,,,
個人,No.9,女子100m自由形,65~歳,4,井上美佐子,セ・大森,3/6,1:36.67,,,,,
個人,No.9,女子100m自由形,65~歳,6,臼井希代子,セ・大宮宮原,6/2,1:38.80,,,,,
個人,No.9,女子100m自由形,65~歳,7,古宇田淳子,セ・南千住,5/5,1:40.53,,,,,
個人,No.9,女子100m自由形,65~歳,8,石崎節代,セ・南千住,5/1,1:41.87,,,,,
個人,No.9,女子100m自由形,65~歳,9,岡田美恵子,セ・溝ノロ,4/4,1:43.36,,,,,
個人,No.9,女子100m自由形,60~歳,1,永瀬秀子,セ・二俣川,9/3,1:13.58,,,,,
個人,No.9,女子100m自由形,60~歳,2,早津恵子,セ・越谷,9/9,1:21.06,,,,,
個人,No.9,女子100m自由形,60~歳,3,伊藤みどり,セ・育.ロ,8/3,1:24.98,,,,,
個人,No.9,女子100m自由形,60~歳,4,大槻真由美,セ・清瀬,7/5,1:26.15,,,,,
個人,No.9,女子100m自由形,60~歳,5,高橋久美,セ・市川,8/1,1:28.41,,,,,
個人,No.9,女子100m自由形,60~歳,6,福原美奈セ・,毛海岸,6/7,1:28.82,,,,,
個人,No.9,女子100m自由形,60~歳,7,野崎由美子,セ・おおたか,6/6,1:30.44,,,,,
個人,No.9,女子100m自由形,60~歳,8,高松早智子,セ・南宇都宮,6/9,1:30.83,,,,,
個人,No.9,女子100m自由形,60~歳,9,伊藤ゆかり,セ・成城,6/4,1:35.23,,,,,
個人,No.9,女子100m自由形,55~歳,1,前畑章子,セ・慶應日吉,8/6,1:17.30,,,,,
個人,No.9,女子100m自由形,55~歳,2,石井紀美子,セ・s湘南ロ,9/2,1:19.30,,,,,
個人,No.9,女子100m自由形,55~歳,3,二ノ宮美佳,セ・越谷,5/9,1:36.46,,,,,
個人,No.9,女子100m自由形,55~歳,4,鈴木夏実,セ・慶應日吉,5/4,1:37.94,,,,,
個人,No.9,女子100m自由形,55~歳,5,佐藤直子,セ・我孫子,4/1,1:38.40,,,,,
個人,No.9,女子100m自由形,55~歳,6,森内裕子,セ・天王洲,3/2,1:39.39,,,,,
個人,No.9,女子100m自由形,55~歳,7,及川董,セ・松戸,6/8,1:40.07,,,,,
個人,No.9,女子100m自由形,55~歳,8,冨樫真樹子,セ・用賀,4/9,1:40.10,,,,,
個人,No.9,女子100m自由形,55~歳,9,佐々木タ子,セ・市ヶ尾,3/3,1:49.86,,,,,
個人,No.9,女子100m自由形,50~歳,2,大石里佳,セ・おおたか,7/4,1:26.97,,,,,
個人,No.9,女子100m自由形,50~歳,3,成島志雅子,セ・F宇都宮,7/8,1:28.77,,,,,
個人,No.9,女子100m自由形,50~歳,4,酒井貴代,セ・大森,7/3,1:29.22,,,,,
個人,No.9,女子100m自由形,50~歳,5,小林和江,セ・福生,7/9,1:31.85,,,,,
個人,No.9,女子100m自由形,50~歳,6,北瀬あづさ,セ・市ヶ尾,5/3,1:34.97,,,,,
個人,No.9,女子100m自由形,50~歳,7,津田千鶴,セ・育.ロ,5/7,1:40.12,,,,,
個人,No.9,女子100m自由形,45~歳,1,佐々木彩,セ・成城,10/1,1:11.69,,,,,
個人,No.9,女子100m自由形,45~歳,2,四井美穂,セ・天王洲,8/5,1:16.07,,,,,
個人,No.9,女子100m自由形,45~歳,3,芳賀加代子,セ・南青山,8/7,1:21.26,,,,,
個人,No.9,女子100m自由形,45~歳,4,小室桃子,セ・八王子,9/1,1:22.83,,,,,
個人,No.9,女子100m自由形,45~歳,5,細沼悦子,セ・越谷,7/2,1:23.78,,,,,
個人,No.9,女子100m自由形,45~歳,6,福本麻美,セ・慶應日吉,8/4,1:24.15,,,,,
個人,No.9,女子100m自由形,45~歳,7,市川百合子,セ・大宮宮原,2/8,1:32.71,,,,,
個人,No.9,女子100m自由形,40~歳,1,上沢絵里奈,セ・慶應日吉,10/9,1:10.68,,,,,
個人,No.9,女子100m自由形,40~歳,3,錦織佳奈子,ザノス川崎,9/8,1:18.62,,,,,
個人,No.9,女子100m自由形,40~歳,4,井島孝子,セ・天王洲,4/7,1:34.31,,,,,
個人,No.9,女子100m自由形,30~歳,1,風間捺央,セ・市川,10/6,1:06.17,,,,,
個人,No.9,女子100m自由形,30~歳,2,豊島葉子,セ・袖ヶ浦,10/3,1:06.56,,,,,
個人,No.9,女子100m自由形,30~歳,3,吉田のばら,セ・南千住,9/6,1:07.88,,,,,
個人,No.9,女子100m自由形,30~歳,4,中山翠,ザノス川崎,8/2,1:24.82,,,,,
個人,No.9,女子100m自由形,25~歳,1,小林志穂,セ・葛西,10/4,1:05.75,,,,,
個人,No.9,女子100m自由形,25~歳,2,ューボーノード菜月セ・柏,8/9,8/9,1:06.84,,,,,
個人,No.9,女子100m自由形,25~歳,3,横溝万波,セ・成瀬,10/8,1:08.73,,,,,
個人,No.9,女子100m自由形,25~歳,4,丸玖瑠都,セ・成城,10/7,1:09.59,,,,,
個人,No.9,女子100m自由形,25~歳,5,真如美優,セ・南千住,10/2,1:11.28,,,,,
個人,No.9,女子100m自由形,25~歳,6,木田景子,セ・平塚,9/5,1:11.97,,,,,
個人,No.9,女子100m自由形,18~歳,1,岩城心美,セ・武蔵小杉,10/5,1:03.73,,,,,
個人,No.9,女子100m自由形,18~歳,2,森山稜子,セ・新都心,9/7,1:19.45,,,,,
個人,No.10,男子100m自由形,85~89歳,1,井上隆史,セ・市ヶ尾,1/5,1:39.14,,,,,
個人,No.10,男子100m自由形,80~84歳,1,中田正二,セ・成城,1/8,1:30.62,,,,,
個人,No.10,男子100m自由形,75~79歳,1,服部陽一,セ・成瀬,2/8,1:34.30,,,,,
個人,No.10,男子100m自由形,75~79歳,2,大内洋,セ・葛西,1/7,1:42.32,,,,,
個人,No.10,男子100m自由形,70~74歳,1,亀田一麿,セ・東戸塚,4/5,1:17.54,,,,,
個人,No.10,男子100m自由形,70~74歳,3,香川左近,セ・二俣川,2/5,1:29.22,,,,,
個人,No.10,男子100m自由形,70~74歳,4,岸田孝,セ・南青山,2/7,1:41.23,,,,,
個人,No.10,男子100m自由形,70~74歳,5,松下達一,セ・西新井,1/6,1:42.66,,,,,
個人,No.10,男子100m自由形,65~69歳,1,海辺信吉,セ・おおたか,6/1,1:11.31,,,,,
個人,No.10,男子100m自由形,65~69歳,2,岩田,セ・慶應日吉,3/7,1:18.62,,,,,
個人,No.10,男子100m自由形,65~69歳,4,佐藤信弘,セ・桶川北本,3/3,1:28.40,,,,,
個人,No.10,男子100m自由形,65~69歳,5,二宮次郎,セ・南宇都宮,2/4,1:28.49,,,,,
個人,No.10,男子100m自由形,65~69歳,6,鈴木義夫セ・,谷,1/4,1:39.44,,,,,
個人,No.10,男子100m自由形,60~64歳,1,早津英哉セ・,谷,7/2,1:07.19,,,,,
個人,No.10,男子100m自由形,60~64歳,2,中村勝,セ・南千住,7/8,1:07.44,,,,,
個人,No.10,男子100m自由形,60~64歳,3,山賀勝之,セ・南青山,5/4,1:11.71,,,,,
個人,No.10,男子100m自由形,60~64歳,4,池谷千尋,セ・長津田,5/6,1:15.82,,,,,
個人,No.10,男子100m自由形,60~64歳,5,二宮,セ・トレッサ,4/3,1:20.57,,,,,
個人,No.10,男子100m自由形,60~64歳,6,藤井宏哉,セ・松戸,4/6,1:21.23,,,,,
個人,No.10,男子100m自由形,60~64歳,7,横山一セ・,谷,4/7,1:22.18,,,,,
個人,No.10,男子100m自由形,60~64歳,8,小島,セ・柏,2/6,1:23.58,,,,,
個人,No.10,男子100m自由形,60~64歳,9,山本和巳,セ・茂原,3/2,1:24.53,,,,,
個人,No.10,男子100m自由形,55~59歳,1,弭間政隆,セ・葛西,5/7,1:09.70,,,,,
個人,No.10,男子100m自由形,55~59歳,3,加藤寿起,セ・袖ヶ浦,4/8,1:18.63,,,,,
個人,No.10,男子100m自由形,55~59歳,4,吉峯幸郎,セ・用賀,3/6,1:19.82,,,,,
個人,No.10,男子100m自由形,55~59歳,5,温井芳浩,セ・谷津,2/2,1:20.82,,,,,
個人,No.10,男子100m自由形,55~59歳,7,大木義之,セ・清瀬,4/1,1:25.97,,,,,
個人,No.10,男子100m自由形,50~54歳,1,田窪達,セ・市ヶ尾,8/5,58.64,・大会新,,,,
個人,No.10,男子100m自由形,50~54歳,2,畠山雅和,セ・袖ヶ浦,7/6,59.21,・大会新,,,,
個人,No.10,男子100m自由形,50~54歳,3,土井清孝,ザバス鶴見,7/7,1:05.15,,,,,
個人,No.10,男子100m自由形,50~54歳,4,藤本豊和,セ・長津田,7/9,1:06.01,,,,,
個人,No.10,男子100m自由形,50~54歳,5,山田耕一,セ・清瀬,7/1,1:08.61,,,,,
個人,No.10,男子100m自由形,50~54歳,6,藤井清和,セ・武蔵小杉,6/8,1:09.52,,,,,
個人,No.10,男子100m自由形,50~54歳,7,足立晃,セ・新川崎,6/9,1:10.17,,,,,
個人,No.10,男子100m自由形,50~54歳,8,平田博之,セ・ときわ台,5/2,1:11.47,,,,,
個人,No.10,男子100m自由形,50~54歳,9,佐久間毅慶,セ・新都心,4/2,1:15.28,,,,,
個人,No.10,男子100m自由形,45~49歳,1,野村峰生,セ・大森,8/4,1:00.53,,,,,
個人,No.10,男子100m自由形,45~49歳,2,北川貴義,セ・阿佐谷,8/2,1:01.23,,,,,
個人,No.10,男子100m自由形,45~49歳,3,中込孝之,ザバス川崎,8/6,1:02.40,,,,,
個人,No.10,男子100m自由形,45~49歳,4,山内イ,セ・市ヶ尾,7/5,1:04.33,,,,,
個人,No.10,男子100m自由形,45~49歳,5,西田幸弘,セ・藤沢,6/7,1:10.20,,,,,
個人,No.10,男子100m自由形,45~49歳,6,小島直政,セ・久喜,5/1,1:14.65,,,,,
個人,No.10,男子100m自由形,40~44歳,1,川瀬次,セ・大宮宮原,8/8,1:01.51,,,,,
個人,No.10,男子100m自由形,35~39歳,1,岩本和也,セ・志木,8/7,59.81,,,,,
個人,No.10,男子100m自由形,35~39歳,2,吉川重行,セ・桶川北本,8/9,1:01.56,,,,,
個人,No.10,男子100m自由形,35~39歳,3,和田,セ・阿佐谷,6/5,1:10.10,,,,,
個人,No.10,男子100m自由形,35~39歳,4,増田,セ・平塚,5/9,1:16.34,,,,,
個人,No.10,男子100m自由形,30~34歳,1,石井孟,セ・葛西,9/4,58.39,,,,,
個人,No.10,男子100m自由形,30~34歳,2,伊藤孝優,セ・八王子,7/4,1:02.71,,,,,
個人,No.10,男子100m自由形,30~34歳,3,渡部慎也,セ・大森,6/4,1:06.04,,,,,
個人,No.10,男子100m自由形,30~34歳,4,寺田遼太,セ・天王洲,6/3,1:06.88,,,,,
個人,No.10,男子100m自由形,30~34歳,5,山田義明,セ・おおたか,4/9,1:23.56,,,,,
