イベントNo,性別,種目,年齢区分,順位,氏名,チーム名,合計年齢,所属,水路,記録,備考,種別
6,男子,25m自由形,75～79歳,9,太田,,,与洋       セ・新浦安,3/ 4,21.48,,個人
6,男子,25m自由形,75～79歳,10,泉保,,,央       セ・慶應日吉,2/ 5,21.90,,個人
6,男子,25m自由形,75～79歳,11,手塚,,,満       セ・おおたか,1/ 3,23.30,,個人
6,男子,25m自由形,75～79歳,12,縫田,,,駿一       セ・おおたか,1/ 6,23.31,,個人
6,男子,25m自由形,75～79歳,13,小野田義人,,,セ・自由が丘,2/ 4,23.36,,個人
6,男子,25m自由形,70～74歳,1,亀田,,,一麿       セ・東戸塚,9/ 5,14.85,,個人
6,男子,25m自由形,70～74歳,2,大倉,,,健志       セ・流山,7/ 1,16.43,,個人
6,男子,25m自由形,70～74歳,3,畑山 圭司,,,セ・南宇都宮,8/ 1,16.88,,個人
6,男子,25m自由形,70～74歳,4,中村 雄一,,,Ｇ－ＳＰＡ,5/ 2,18.00,,個人
6,男子,25m自由形,70～74歳,5,橋本,,,亘       セ・おおたか,6/ 2,18.56,,個人
6,男子,25m自由形,70～74歳,6,森下,,,善夫       セ・大宮宮原,3/ 7,19.17,,個人
6,男子,25m自由形,70～74歳,7,松下,,,達一       セ・西新井,6/10,19.69,,個人
6,男子,25m自由形,70～74歳,8,大久保美伸,,,セ・松戸,3/ 8,20.47,,個人
6,男子,25m自由形,70～74歳,9,若山,,,聖亮       Ｇ－ＳＰＡ,3/10,21.34,,個人
6,男子,25m自由形,65～69歳,1,冨松,,,実       セ・二俣川,11/ 5,13.63,,個人
6,男子,25m自由形,65～69歳,2,岩田,,,寛       セ・慶應日吉,10/ 5,14.27,,個人
6,男子,25m自由形,65～69歳,3,五十嵐 洋,,,セ・おおたか,10/ 6,14.86,,個人
6,男子,25m自由形,65～69歳,4,横浜,,,健       セ・南青山,9/ 9,15.24,,個人
6,男子,25m自由形,65～69歳,5,二宮 次郎,,,セ・南宇都宮,8/ 9,15.93,,個人
6,男子,25m自由形,65～69歳,6,山中 一男,,,セ・阿佐谷,7/ 2,16.36,,個人
6,男子,25m自由形,65～69歳,7,松浦,,,彰       セ・新浦安,4/ 3,16.69,,個人
6,男子,25m自由形,65～69歳,8,橋本,,,政明       セ・志木,5/ 7,17.01,,個人
6,男子,25m自由形,65～69歳,9,八木下洋一,,,セ・自由が丘,7/ 3,17.07,,個人
6,男子,25m自由形,65～69歳,10,菅谷,,,新吾       セ・南青山,7/ 8,17.16,,個人
6,男子,25m自由形,65～69歳,11,長野,,,守       セ・慶應日吉,5/ 3,17.25,,個人
6,男子,25m自由形,65～69歳,12,藤原雄一郎,,,セ・大森,6/ 3,17.78,,個人
6,男子,25m自由形,65～69歳,13,岡部 浩次,,,セ・上池袋,5/ 1,18.05,,個人
6,男子,25m自由形,65～69歳,14,鈴木,,,篤       セ・おおたか,3/ 2,19.45,,個人
6,男子,25m自由形,65～69歳,15,岩崎,,,純       セ・平塚,3/ 5,26.94,,個人
6,男子,25m自由形,60～64歳,1,安田洋一郎,,,セ・八千代台,11/ 3,13.91,,個人
6,男子,25m自由形,60～64歳,2,井戸川 隆,,,セ・久喜,11/ 6,14.26,,個人
6,男子,25m自由形,60～64歳,3,田中 基幹,,,セ・流山,8/ 6,14.89,,個人
6,男子,25m自由形,60～64歳,4,松下,,,尚之       セ・流山,8/ 5,15.44,,個人
6,男子,25m自由形,60～64歳,5,丸山,,,恵太       セ・西新井,7/ 7,15.83,,個人
6,男子,25m自由形,60～64歳,6,佐野,,,裕之       セ・武蔵小杉,5/ 5,16.53,,個人
6,男子,25m自由形,60～64歳,7,後藤,,,潤       セ・成城,6/ 5,16.84,,個人
6,男子,25m自由形,60～64歳,8,安藤,,,靖       セ・南青山,6/ 7,17.61,,個人
6,男子,25m自由形,60～64歳,9,綱島,,,和仁       セ・大森,5/ 8,18.05,,個人
6,男子,25m自由形,60～64歳,10,半澤,,,繁       セ・清瀬,5/ 6,19.00,,個人
6,男子,25m自由形,60～64歳,11,具島 春彦,,,セ・大森,3/ 9,24.20,,個人
6,男子,25m自由形,55～59歳,1,山田 隆弘,,,セ・市川,12/ 9,13.50,,個人
6,男子,25m自由形,55～59歳,2,青木 健二,,,セ・蒲田,12/ 8,13.67,,個人
6,男子,25m自由形,55～59歳,3,門倉,,,孝行       セ・慶應日吉,9/ 7,13.80,,個人
6,男子,25m自由形,55～59歳,4,兵藤,,,鋭雄       セ・目黒,11/ 8,13.88,,個人
6,男子,25m自由形,55～59歳,5,加藤 寿起,,,セ・袖ケ浦,11/ 4,14.12,,個人
6,男子,25m自由形,55～59歳,6,久保田信利,,,ザバス八景,9/ 4,14.72,,個人
6,男子,25m自由形,55～59歳,7,高梨,,,繁       ザバス川崎,8/ 4,15.77,,個人
6,男子,25m自由形,55～59歳,8,日暮,,,正明       セ・天王洲,7/ 4,16.43,,個人
6,男子,25m自由形,55～59歳,9,福田 義晴,,,セ・市川,7/ 5,17.38,,個人
6,男子,25m自由形,55～59歳,10,池上,,,功       セ・亀有,5/ 4,18.27,,個人
6,男子,25m自由形,55～59歳,11,珠数 拓也,,,セ・新浦安,4/ 8,18.97,,個人
6,男子,25m自由形,55～59歳,12,冨澤,,,正明       セ・青砥,1/ 4,27.11,,個人
6,男子,25m自由形,50～54歳,1,大村 俊文,,,セ・二俣川,15/ 2,11.70,･大会新,個人
6,男子,25m自由形,50～54歳,2,佐藤 靖嗣,,,セ・新浦安,14/ 5,11.94,･大会新,個人
6,男子,25m自由形,50～54歳,3,石井,,,龍       セ・成城,14/ 4,12.72,,個人
6,男子,25m自由形,50～54歳,4,松崎 敏明,,,セ・慶應日吉,12/ 5,13.10,,個人
6,男子,25m自由形,50～54歳,5,佐々木茂倫,,,セ・流山,14/ 1,13.32,,個人
6,男子,25m自由形,50～54歳,6,磯貝,,,知弘       セ・柏,13/ 5,13.45,,個人
6,男子,25m自由形,50～54歳,7,中村,,,良樹       セ・武蔵小杉,11/ 7,13.49,,個人
6,男子,25m自由形,50～54歳,7,足立,,,晃       セ・新川崎,13/ 2,13.49,,個人
6,男子,25m自由形,50～54歳,9,添田,,,邦彦       セ・八王子,10/ 3,13.64,,個人
6,男子,25m自由形,50～54歳,10,新井田將司,,,セ・トレッサ,13/ 9,13.73,,個人
6,男子,25m自由形,50～54歳,11,前田 光輝,,,セ・おおたか,8/ 7,13.82,,個人
6,男子,25m自由形,50～54歳,12,清田,,,真人       セ・大宮宮原,9/ 8,13.87,,個人
6,男子,25m自由形,50～54歳,13,加藤,,,大輔       セ・横浜,10/ 2,14.61,,個人
6,男子,25m自由形,50～54歳,14,松本 考弘,,,セ・清瀬,10/ 4,14.62,,個人
6,男子,25m自由形,50～54歳,15,千葉 忠英,,,セ・天王洲,11/ 2,14.71,,個人
6,男子,25m自由形,50～54歳,16,倉本,,,貴司       セ・東十条,10/ 7,14.72,,個人
6,男子,25m自由形,50～54歳,17,佐久間毅慶,,,セ・新都心,7/ 9,14.91,,個人
6,男子,25m自由形,50～54歳,19,青木 正昭,,,セ・福生,9/ 2,15.63,,個人
6,男子,25m自由形,50～54歳,20,松林,,,徹       セ・越谷,7/10,16.41,,個人
6,男子,25m自由形,50～54歳,21,山口 一郎,,,セ・青砥,4/ 1,17.01,,個人
6,男子,25m自由形,50～54歳,22,岩永真一郎,,,セ・成城,4/ 9,17.45,,個人
6,男子,25m自由形,50～54歳,23,本間,,,智浩       セ・志木,8/10,17.50,,個人
6,男子,25m自由形,50～54歳,24,三宅,,,章介       セ・南千住,4/ 2,18.23,,個人
6,男子,25m自由形,45～49歳,1,秋山,,,朝紀       セ・大森,13/ 6,12.18,,個人
6,男子,25m自由形,45～49歳,2,宅間,,,健介       セ・天王洲,12/ 6,12.97,,個人
6,男子,25m自由形,45～49歳,3,北川,,,貴義       セ・阿佐谷,14/ 9,13.00,,個人
6,男子,25m自由形,45～49歳,4,大作,,,善祥       セ・おおたか,12/ 4,13.20,,個人
6,男子,25m自由形,45～49歳,5,加地,,,隆史       セ・葛西,13/ 8,13.24,,個人
6,男子,25m自由形,45～49歳,6,若杉,,,佳宏       セ・阿佐谷,11/ 9,13.52,,個人
6,男子,25m自由形,45～49歳,7,鈴木 礼伊,,,セ・宇都宮,11/ 1,13.93,,個人
6,男子,25m自由形,45～49歳,8,佐藤,,,浩一       セ・南千住,6/ 1,18.68,,個人
6,男子,25m自由形,40～44歳,1,松本光太郎,,,セ・袖ケ浦,13/ 4,12.75,,個人
6,男子,25m自由形,40～44歳,2,村上,,,守       セ・成城,14/ 8,12.77,,個人
6,男子,25m自由形,40～44歳,3,桐谷,,,俊寛       セ・新浦安,12/ 1,12.93,,個人
6,男子,25m自由形,40～44歳,4,田子,,,晃       セ・自由が丘,10/ 1,14.30,,個人
6,男子,25m自由形,40～44歳,5,柏木,,,武       セ・上池袋,4/10,15.72,,個人
6,男子,25m自由形,40～44歳,6,清水,,,大輔       セ・桶川北本,7/ 6,15.83,,個人
6,男子,25m自由形,35～39歳,1,内山,,,皓太       セ・能見台,15/ 7,10.73,･大会新,個人
6,男子,25m自由形,35～39歳,2,小方,,,聡       セ・用賀,15/ 8,11.49,,個人
6,男子,25m自由形,35～39歳,3,酒井,,,智彬       セ・ときわ台,14/10,12.72,,個人
6,男子,25m自由形,35～39歳,4,佐々木悠介,,,セ・福島,8/ 3,16.47,,個人
6,男子,25m自由形,30～34歳,1,板垣,,,義人       セ・トレッサ,15/ 4,10.94,･大会新,個人
6,男子,25m自由形,30～34歳,2,寺田,,,遼太       セ・天王洲,13/ 3,13.01,,個人
6,男子,25m自由形,30～34歳,3,丹波,,,雅哉       セ・新川崎,9/10,15.10,,個人
6,男子,25m自由形,30～34歳,4,金子奨太郎,,,セ・南青山,8/ 8,15.89,,個人
6,男子,25m自由形,30～34歳,5,山田,,,義明       セ・おおたか,5/10,16.00,,個人
6,男子,25m自由形,25～29歳,1,川島,,,由伸       セ・上池袋,15/ 5,10.23,･大会新,個人
6,男子,25m自由形,25～29歳,2,室坂,,,拓真       セ・用賀,15/ 1,11.91,,個人
6,男子,25m自由形,25～29歳,3,村岡 孝義,,,セ・桶川北本,14/ 2,12.48,,個人
6,男子,25m自由形,25～29歳,4,和田,,,佳明       セ・二俣川,12/ 3,13.28,,個人
6,男子,25m自由形,25～29歳,5,竹下,,,翔       セ・長津田,14/ 7,13.50,,個人
6,男子,25m自由形,25～29歳,6,長尾隆太郎,,,セ・越谷,9/ 3,13.89,,個人
6,男子,25m自由形,25～29歳,7,亀井,,,智貴       セ・用賀,10/10,14.66,,個人
6,男子,25m自由形,18～24歳,1,川口 皓生,,,セ・柏,15/ 6,11.19,,個人
6,男子,25m自由形,18～24歳,2,木村 隼人,,,セ・八王子,15/ 3,11.39,,個人
6,男子,25m自由形,18～24歳,3,光永 喜紀,,,セ・流山,13/10,11.47,,個人
6,男子,25m自由形,18～24歳,4,青木 海斗,,,セ・用賀,15/10,11.99,,個人
6,男子,25m自由形,18～24歳,5,秋澤,,,裕介       セ・二俣川,14/ 3,12.04,,個人
6,男子,25m自由形,18～24歳,6,野中 海貴,,,セ・葛西,13/ 1,12.38,,個人
6,男子,25m自由形,18～24歳,7,藤井,,,登夢       セ・市ヶ尾,12/10,13.17,,個人
6,男子,25m自由形,18～24歳,8,大竹 波人,,,セ・八王子,2/ 8,13.88,,個人
6,男子,25m自由形,18～24歳,9,髙橋,,,慧       セ・市ヶ尾,11/10,13.99,,個人
6,男子,25m自由形,18～24歳,10,鈴木佑之介,,,セ・藤沢,9/ 1,15.81,,個人
7,女子,25m背泳ぎ,85～89歳,1,田中もみぢ,,,セ・おおたか,6/ 2,28.53,,個人
7,女子,25m背泳ぎ,85～89歳,2,須山,,,順子       セ・松戸,5/ 9,30.34,,個人
7,女子,25m背泳ぎ,80～84歳,1,中村 敬子,,,セ・府中,1/ 6,26.82,,個人
7,女子,25m背泳ぎ,80～84歳,2,田神,,,洋子       セ・トレッサ,1/ 2,27.26,,個人
7,女子,25m背泳ぎ,80～84歳,3,舘野,,,圭子       セ・用賀,5/ 7,29.10,,個人
7,女子,25m背泳ぎ,80～84歳,4,浜野,,,操子       セ・流山,2/ 7,29.34,,個人
7,女子,25m背泳ぎ,80～84歳,5,三浦実恵子,,,セ・館山,1/ 3,29.50,,個人
7,女子,25m背泳ぎ,80～84歳,6,岡本 靖子,,,セ・慶應日吉,2/ 4,29.58,,個人
7,女子,25m背泳ぎ,80～84歳,7,倉元,,,恵子       セ・館山,1/ 5,30.00,,個人
7,女子,25m背泳ぎ,80～84歳,8,中田,,,和子       セ・越谷,1/ 9,30.78,,個人
7,女子,25m背泳ぎ,80～84歳,9,大浜南海江,,,セ・目黒,3/ 5,31.95,,個人
7,女子,25m背泳ぎ,80～84歳,10,加藤 直子,,,セ・横浜,1/ 8,41.28,,個人
7,女子,25m背泳ぎ,75～79歳,1,古旗,,,美鈴       セ・上池袋,7/ 5,25.39,,個人
7,女子,25m背泳ぎ,75～79歳,2,川口 栄子,,,セ・松戸,7/ 9,26.29,,個人
7,女子,25m背泳ぎ,75～79歳,3,原田,,,早苗       セ・南千住,4/ 5,26.63,,個人
7,女子,25m背泳ぎ,75～79歳,4,福田加代子,,,セ・戸塚,6/ 7,27.00,,個人
7,女子,25m背泳ぎ,75～79歳,5,青木,,,洋子       墨田区体育館,3/ 8,27.54,,個人
7,女子,25m背泳ぎ,75～79歳,6,田村 俊子,,,セ・館山,3/ 7,28.23,,個人
7,女子,25m背泳ぎ,75～79歳,7,畔上,,,節子       セ・二俣川,3/ 6,28.53,,個人
7,女子,25m背泳ぎ,75～79歳,8,太田,,,重代       セ・二俣川,3/ 3,28.66,,個人
7,女子,25m背泳ぎ,75～79歳,9,大堂,,,光江       セ・二俣川,6/ 9,30.29,,個人
7,女子,25m背泳ぎ,75～79歳,10,後藤,,,節子       セ・松戸,3/ 4,31.00,,個人
7,女子,25m背泳ぎ,75～79歳,11,江川加代子,,,セ・新三郷,3/10,31.99,,個人
7,女子,25m背泳ぎ,75～79歳,12,石村眞理子,,,セ・新川崎,2/ 3,33.60,,個人
7,女子,25m背泳ぎ,75～79歳,13,栗原,,,羊子       セ・流山,2/ 2,33.64,,個人
7,女子,25m背泳ぎ,75～79歳,14,小島,,,律子       セ・谷津,1/ 7,35.17,,個人
7,女子,25m背泳ぎ,70～74歳,1,山本由起子,,,セ・南千住,9/ 2,21.70,,個人
7,女子,25m背泳ぎ,70～74歳,2,市野 克子,,,セ・大森,7/ 3,22.16,,個人
7,女子,25m背泳ぎ,70～74歳,3,松村 恵子,,,セ・葛西,8/ 6,22.29,,個人
7,女子,25m背泳ぎ,70～74歳,4,水谷,,,裕子       セ・西新井,8/ 9,22.42,,個人
7,女子,25m背泳ぎ,70～74歳,5,舛尾妃呂子,,,セ・稲毛海岸,7/ 6,23.30,,個人
7,女子,25m背泳ぎ,70～74歳,6,梅田栄己子,,,セ・天王洲,7/ 4,23.53,,個人
7,女子,25m背泳ぎ,70～74歳,7,近藤ひな子,,,セ・二俣川,9/10,23.94,,個人
7,女子,25m背泳ぎ,70～74歳,8,平山,,,啓子       セ・南青山,6/ 4,25.74,,個人
7,女子,25m背泳ぎ,70～74歳,9,矢島きよえ,,,CS南行徳,4/ 4,25.80,,個人
7,女子,25m背泳ぎ,70～74歳,10,新井 瑞枝,,,セ・流山,3/ 2,26.38,,個人
7,女子,25m背泳ぎ,70～74歳,11,儀保都志子,,,セ・成瀬,2/ 1,26.44,,個人
7,女子,25m背泳ぎ,70～74歳,12,松山,,,慶子       セ・二俣川,1/ 1,26.76,,個人
7,女子,25m背泳ぎ,70～74歳,13,大塩,,,郁子       セ・新浦安,5/ 3,26.90,,個人
7,女子,25m背泳ぎ,70～74歳,14,鬼束 洋子,,,セ・天王洲,2/ 9,27.26,,個人
7,女子,25m背泳ぎ,70～74歳,15,畠山眞由美,,,セ・柏,4/ 8,27.53,,個人
7,女子,25m背泳ぎ,70～74歳,16,宮内佳代子,,,セ・トレッサ,7/ 1,29.17,,個人
7,女子,25m背泳ぎ,70～74歳,17,友野 敬子,,,セ・館山,1/ 4,30.44,,個人
7,女子,25m背泳ぎ,70～74歳,18,戸倉,,,陽子       セ・慶應日吉,5/ 1,31.55,,個人
7,女子,25m背泳ぎ,70～74歳,19,于,,,亜芝       セ・南千住,4/ 3,33.08,,個人
7,女子,25m背泳ぎ,70～74歳,20,花田,,,裕子       セ・稲毛海岸,4/ 7,44.90,,個人
7,女子,25m背泳ぎ,65～69歳,1,石田,,,良子       セ・越谷,9/ 5,19.99,,個人
7,女子,25m背泳ぎ,65～69歳,2,酒井,,,香澄       セ・湘南ＬＴ,11/10,20.70,,個人
7,女子,25m背泳ぎ,65～69歳,3,綱川香代子,,,セ・新浦安,9/ 1,20.82,,個人
7,女子,25m背泳ぎ,65～69歳,4,田邊和歌子,,,セ・横浜,8/ 4,21.44,,個人
7,女子,25m背泳ぎ,65～69歳,5,田代眞理子,,,セ・成城,9/ 6,21.90,,個人
7,女子,25m背泳ぎ,65～69歳,6,掘口実枝子,,,セ・トレッサ,7/ 7,22.47,,個人
7,女子,25m背泳ぎ,65～69歳,7,櫻田,,,琴       セ・天王洲,7/10,22.95,,個人
7,女子,25m背泳ぎ,65～69歳,8,原,,,昌代       セ・市ヶ尾,8/ 5,23.58,,個人
7,女子,25m背泳ぎ,65～69歳,9,光畑千栄子,,,セ・成瀬,4/ 2,23.75,,個人
7,女子,25m背泳ぎ,65～69歳,10,小笠原京子,,,セ・流山,5/ 2,24.05,,個人
7,女子,25m背泳ぎ,65～69歳,11,伊藤,,,春美       ザバス川崎,5/ 6,24.53,,個人
7,女子,25m背泳ぎ,65～69歳,12,東海林慶美,,,セ・蒲田,6/ 1,25.24,,個人
7,女子,25m背泳ぎ,65～69歳,13,掃部,,,典子       曽谷・セ,7/ 2,25.35,,個人
7,女子,25m背泳ぎ,65～69歳,14,上松 弘子,,,セ・上池袋,5/ 4,25.96,,個人
7,女子,25m背泳ぎ,65～69歳,15,秦 和加子,,,セ・新川崎,5/ 8,26.43,,個人
7,女子,25m背泳ぎ,65～69歳,16,下川喜美枝,,,セ・南千住,6/ 6,26.61,,個人
7,女子,25m背泳ぎ,65～69歳,17,中西トモ子,,,セ・越谷,4/ 6,29.76,,個人
7,女子,25m背泳ぎ,65～69歳,18,池長 幸子,,,セ・桶川北本,2/ 8,30.84,,個人
7,女子,25m背泳ぎ,60～64歳,1,上野,,,真弓       セ・二俣川,10/ 6,20.66,,個人
7,女子,25m背泳ぎ,60～64歳,2,高見沢ゆみ子,,,セ・慶應日吉,8/ 7,20.73,,個人
7,女子,25m背泳ぎ,60～64歳,3,佐藤 明美,,,セ・館山,9/ 4,20.86,,個人
7,女子,25m背泳ぎ,60～64歳,4,吉川,,,千晶       Ｇ－ＳＰＡ,10/ 1,20.99,,個人
7,女子,25m背泳ぎ,60～64歳,5,大槻真由美,,,セ・清瀬,8/ 3,21.66,,個人
7,女子,25m背泳ぎ,60～64歳,6,中野 朗子,,,セ・慶應日吉,9/ 7,21.74,,個人
7,女子,25m背泳ぎ,60～64歳,7,田村 明美,,,セ・慶應日吉,9/ 9,21.88,,個人
7,女子,25m背泳ぎ,60～64歳,8,小笠原暁子,,,セ・清瀬,8/ 8,22.55,,個人
7,女子,25m背泳ぎ,60～64歳,9,宮内,,,麻里       曽谷・セ,7/ 8,23.35,,個人
7,女子,25m背泳ぎ,60～64歳,10,古谷,,,幸代       セ・二俣川,8/ 2,25.48,,個人
7,女子,25m背泳ぎ,60～64歳,11,佐々木れい,,,セ・志木,6/ 5,25.98,,個人
7,女子,25m背泳ぎ,60～64歳,12,五十嵐佳澄,,,セ・阿佐谷,6/ 8,26.76,,個人
7,女子,25m背泳ぎ,60～64歳,13,石井,,,恵津       セ・自由が丘,5/10,27.09,,個人
7,女子,25m背泳ぎ,60～64歳,14,半田,,,晴子       セ・武蔵小杉,6/10,28.38,,個人
7,女子,25m背泳ぎ,60～64歳,15,片野,,,貴子       セ・二俣川,4/ 1,28.68,,個人
7,女子,25m背泳ぎ,60～64歳,16,鈴木加代子,,,セ・新三郷,4/ 9,32.88,,個人
7,女子,25m背泳ぎ,55～59歳,1,川村佳代子,,,セ・二俣川,11/ 6,18.30,,個人
7,女子,25m背泳ぎ,55～59歳,2,八尋,,,加苗       セ・松戸,10/ 4,19.62,,個人
7,女子,25m背泳ぎ,55～59歳,3,及川,,,薫       セ・松戸,9/ 8,20.44,,個人
7,女子,25m背泳ぎ,55～59歳,4,小林のぞみ,,,セ・越谷,9/ 3,20.75,,個人
7,女子,25m背泳ぎ,55～59歳,5,武部友美子,,,セ・東戸塚,10/10,21.15,,個人
7,女子,25m背泳ぎ,55～59歳,6,森川佳余子,,,クリーンスパ,10/ 9,21.74,,個人
7,女子,25m背泳ぎ,55～59歳,7,眞野真喜子,,,セ・谷津,5/ 5,23.54,,個人
7,女子,25m背泳ぎ,55～59歳,8,佐藤 直子,,,セ・我孫子,3/ 9,26.34,,個人
7,女子,25m背泳ぎ,55～59歳,9,中林三恵子,,,セ・二俣川,3/ 1,27.98,,個人
7,女子,25m背泳ぎ,55～59歳,10,古平 正美,,,セ・清瀬,2/ 6,28.94,,個人
7,女子,25m背泳ぎ,55～59歳,11,山崎,,,裕子       セ・西新井,4/10,34.29,,個人
7,女子,25m背泳ぎ,50～54歳,1,浅尾 有香,,,セ・大森,12/ 7,16.48,･大会新,個人
7,女子,25m背泳ぎ,50～54歳,2,友田,,,智哲       セ・南青山,11/ 7,17.52,,個人
7,女子,25m背泳ぎ,50～54歳,3,棚網 恵理,,,セ・阿佐谷,11/ 4,18.32,,個人
7,女子,25m背泳ぎ,50～54歳,4,菅原,,,幸       セ・トレッサ,11/ 3,19.14,,個人
7,女子,25m背泳ぎ,50～54歳,5,鈴木由佳里,,,セ・天王洲,11/ 1,19.78,,個人
7,女子,25m背泳ぎ,50～54歳,6,吉岡,,,智子       セ・新都心,10/ 3,20.34,,個人
7,女子,25m背泳ぎ,50～54歳,7,五十嵐知佐,,,セ・おおたか,10/ 8,20.40,,個人
7,女子,25m背泳ぎ,50～54歳,8,久保,,,洋子       セ・流山,2/ 5,32.24,,個人
7,女子,25m背泳ぎ,45～49歳,1,遠藤,,,真理       セ・袖ケ浦,12/ 2,16.73,,個人
7,女子,25m背泳ぎ,45～49歳,2,青山 里香,,,セ・成瀬,12/ 8,16.80,,個人
7,女子,25m背泳ぎ,45～49歳,3,坂本,,,桃枝       Ｇ－ＳＰＡ,12/10,17.76,,個人
7,女子,25m背泳ぎ,45～49歳,4,上田平典子,,,セ・市ヶ尾,11/ 8,18.51,,個人
7,女子,25m背泳ぎ,45～49歳,5,宇田川美穂,,,セ・天王洲,10/ 7,19.07,,個人
7,女子,25m背泳ぎ,45～49歳,6,貞廣瑠美子,,,セ・上池袋,10/ 2,20.74,,個人
7,女子,25m背泳ぎ,45～49歳,7,吉田 瑠夏,,,曽谷・セ,8/ 1,24.27,,個人
7,女子,25m背泳ぎ,45～49歳,8,萩原里奈子,,,セ・葛西,8/10,25.07,,個人
7,女子,25m背泳ぎ,40～44歳,1,永田加那子,,,セ・葛西,12/ 4,16.65,,個人
7,女子,25m背泳ぎ,35～39歳,1,川北,,,恵       セ・長津田,11/ 5,16.63,,個人
7,女子,25m背泳ぎ,35～39歳,2,萩原ゆりか,,,セ・天王洲,12/ 9,18.32,,個人
7,女子,25m背泳ぎ,35～39歳,3,小林貴美代,,,セ・稲毛海岸,11/ 2,19.18,,個人
7,女子,25m背泳ぎ,35～39歳,4,國政,,,玲       セ・南青山,6/ 3,22.83,,個人
7,女子,25m背泳ぎ,30～34歳,1,仲田 笑美,,,セ・成城,12/ 6,16.01,,個人
7,女子,25m背泳ぎ,30～34歳,2,井上,,,唯       セ・慶應日吉,11/ 9,19.79,,個人
7,女子,25m背泳ぎ,25～29歳,1,岡澤,,,志織       セ・茂原,12/ 5,14.42,･大会新,個人
7,女子,25m背泳ぎ,25～29歳,2,髙橋 美波,,,セ・武蔵小杉,12/ 3,16.62,,個人
8,男子,25m背泳ぎ,90～94歳,1,椎野,,,正敏       セ・越谷,1/ 8,32.73,,個人
8,男子,25m背泳ぎ,80～84歳,1,井口,,,穣       セ・東戸塚,1/ 2,23.62,,個人
8,男子,25m背泳ぎ,80～84歳,2,石川 守也,,,セ・市川,2/ 8,23.68,,個人
8,男子,25m背泳ぎ,80～84歳,3,高野,,,崇       セ・戸塚,1/ 9,31.14,,個人
8,男子,25m背泳ぎ,80～84歳,4,増山,,,晶一       セ・下北沢,1/ 3,31.39,,個人
8,男子,25m背泳ぎ,75～79歳,1,木崎二三男,,,セ・福生,2/ 6,20.77,,個人
8,男子,25m背泳ぎ,75～79歳,2,丸,,,喜章       セ・茂原,2/ 5,22.04,,個人
8,男子,25m背泳ぎ,75～79歳,3,田中 信夫,,,セ・越谷,2/ 9,23.80,,個人
8,男子,25m背泳ぎ,75～79歳,4,大内,,,洋       セ・葛西,1/ 6,25.13,,個人
8,男子,25m背泳ぎ,75～79歳,5,神保,,,伸幸       セ・南青山,1/ 5,27.24,,個人
8,男子,25m背泳ぎ,70～74歳,1,鈴木 幹男,,,セ・我孫子,3/ 7,19.71,,個人
8,男子,25m背泳ぎ,70～74歳,2,臼井,,,全人       セ・大宮宮原,3/ 1,20.60,,個人
8,男子,25m背泳ぎ,70～74歳,3,幡場,,,達明       セ・大宮宮原,2/ 7,21.55,,個人
8,男子,25m背泳ぎ,65～69歳,1,冨松,,,実       セ・二俣川,4/ 9,17.08,･大会新,個人
8,男子,25m背泳ぎ,65～69歳,2,會田,,,修一       セ・おおたか,4/ 1,17.92,,個人
8,男子,25m背泳ぎ,65～69歳,3,五十嵐 洋,,,セ・おおたか,2/ 4,18.57,,個人
8,男子,25m背泳ぎ,65～69歳,4,西森文史郎,,,セ・長津田,3/ 8,20.07,,個人
8,男子,25m背泳ぎ,65～69歳,5,岡部 浩次,,,セ・上池袋,2/ 3,25.09,,個人
8,男子,25m背泳ぎ,60～64歳,1,小松崎 浩,,,セ・府中,4/10,20.22,,個人
8,男子,25m背泳ぎ,60～64歳,2,今村,,,賢治       墨田区体育館,1/ 7,27.28,,個人
8,男子,25m背泳ぎ,55～59歳,1,小林,,,篤       セ・長津田,5/ 3,14.07,,個人
8,男子,25m背泳ぎ,55～59歳,2,柄澤,,,英也       セ・用賀,4/ 6,16.11,,個人
8,男子,25m背泳ぎ,55～59歳,3,小倉,,,秀和       セ・清瀬,4/ 5,16.17,,個人
8,男子,25m背泳ぎ,55～59歳,4,宮川 則仁,,,セ・大宮宮原,3/ 4,17.39,,個人
8,男子,25m背泳ぎ,55～59歳,5,宮木 幸彦,,,セ・葛西,4/ 2,18.30,,個人
8,男子,25m背泳ぎ,55～59歳,6,福田 剛紀,,,Ｇ－ＳＰＡ,3/ 5,18.97,,個人
8,男子,25m背泳ぎ,55～59歳,7,温井,,,芳浩       セ・谷津,3/ 6,19.46,,個人
8,男子,25m背泳ぎ,50～54歳,1,河野,,,悟       セ・慶應日吉,5/10,14.74,,個人
8,男子,25m背泳ぎ,50～54歳,2,新井田將司,,,セ・トレッサ,4/ 7,16.43,,個人
8,男子,25m背泳ぎ,50～54歳,3,岩永真一郎,,,セ・成城,2/ 2,20.32,,個人
8,男子,25m背泳ぎ,50～54歳,4,青木 正昭,,,セ・福生,3/ 2,20.91,,個人
8,男子,25m背泳ぎ,45～49歳,1,寺田,,,貴洋       セ・二俣川,5/ 6,13.44,,個人
8,男子,25m背泳ぎ,45～49歳,2,若杉,,,佳宏       セ・阿佐谷,3/ 3,17.88,,個人
8,男子,25m背泳ぎ,45～49歳,3,山本,,,聡       セ・久喜,3/ 9,21.82,,個人
